Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,0.02V,1.62V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.60511037,-49.1662259
25.1188643,1.12320016,-50.2694251
39.8107171,1.11119375,-52.8852963
63.0957344,0.864996154,-54.711406
100,0.667622349,-54.6775158
158.489319,0.515778144,-54.1165431
251.188643,0.395572573,-52.5146468
398.107171,0.304830985,-49.7249445
630.957344,0.237679969,-45.7151709
1000,0.189152606,-40.6386022
1584.89319,0.155203219,-34.8852304
2511.88643,0.132504652,-29.0963569
3981.07171,0.117492073,-23.7698641
6309.57344,0.107149548,-19.2693178
10000,0.0997776727,-15.742523
15848.9319,0.0942923073,-13.1923221
25118.8643,0.0896883209,-11.4905975
39810.7171,0.0859902938,-10.4970407
63095.7344,0.0826086005,-10.0688559
100000,0.0793589704,-10.1564101
158489.319,0.0760875091,-10.8127779
200000,0.0744580365,-11.3289503
