22
22
22
22
1952.92	82.01	20.0
7778.51	518.25	25.1188643
3484.85	292.01	39.8107171
7452.23	938.4	63.0957344
7088.05	1088.87	100.0
6692.1	1292.08	158.489319
6191.78	1468.92	251.188643
5633.08	1579.81	398.107171
5068.55	1613.48	630.957344
4510.01	1556.65	1000.0
4005.54	1443.97	1584.89319
3574.81	1307.27	2511.88643
3206.21	1167.6	3981.07171
2900.65	1052.88	6309.57344
2644.67	977.96	10000.0
2422.22	956.97	15848.9319
2212.73	992.28	25118.8643
1988.7	1071.03	39810.7171
1715.24	1143.02	63095.7344
1381.07	1122.04	100000.0
1029.63	958.63	158489.319
859.26	837.05	200000.0
