22
22
22
22
1328.15	1090.72	20.0
662.71	521.3	25.1188643
927.46	754.84	39.8107171
728.61	594.41	63.0957344
562.95	460.14	100.0
431.4	354.29	158.489319
325.9	268.21	251.188643
244.7	200.56	398.107171
183.24	148.07	630.957344
136.92	107.48	1000.0
104.91	78.72	1584.89319
81.77	57.31	2511.88643
65.76	42.3	3981.07171
54.67	31.95	6309.57344
46.29	24.58	10000.0
40.13	19.65	15848.9319
34.95	16.08	25118.8643
30.76	13.35	39810.7171
27.06	10.84	63095.7344
24.11	8.91	100000.0
21.89	7.4	158489.319
20.91	6.78	200000.0
