Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1.05V,2.95V
Phase Unit,Degree
Phase Axis Range,-70Deg,10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.00589635801,-1.80878094
25.1188643,1.35292037,-2.48249933
39.8107171,1.92097002,-2.59454682
63.0957344,1.89519444,-4.25669815
100,1.84282032,-5.25317213
158.489319,1.78418303,-6.7005018
251.188643,1.70803662,-8.40700965
398.107171,1.61933319,-10.2494935
630.957344,1.51809237,-12.0444224
1000,1.41283998,-13.6082526
1584.89319,1.29747345,-14.8723222
2511.88643,1.1915601,-15.6420671
3981.07171,1.10003475,-16.1064651
6309.57344,0.977547075,-16.4321964
10000,0.942862743,-17.1811474
15848.9319,0.879011307,-18.6501653
25118.8643,0.820025392,-21.5515456
39810.7171,0.758820988,-26.6241829
63095.7344,0.683132248,-34.5219272
100000,0.57972167,-45.431594
158489.319,0.451284642,-57.4697854
200000,0.382990652,-63.883674
