Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1.15V,2.85V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.72595579,-25.0700049
25.1188643,0.23279728,-30.1311164
39.8107171,0.186095041,-16.2371767
63.0957344,1.23444041,-26.8862373
100,1.1031203,-24.9961067
158.489319,0.987145787,-25.6510624
251.188643,0.890115128,-24.0258401
398.107171,0.804193185,-24.4398704
630.957344,0.720492501,-25.6515397
1000,0.63796026,-27.5136907
1584.89319,0.556008357,-29.8861509
2511.88643,0.265793541,-32.4181272
3981.07171,0.404815487,-34.9302176
6309.57344,0.328993888,-37.0336792
10000,0.269261251,-38.4911691
15848.9319,0.218260461,-39.3842056
25118.8643,0.176678401,-39.837276
39810.7171,0.142600057,-39.7934178
63095.7344,0.114851198,-39.0252513
100000,0.0933865124,-37.501704
158489.319,0.0764481616,-35.2617143
200000,0.0696717012,-33.9129856
