Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,0.34V,1.94V
Phase Unit,Degree
Phase Axis Range,-70Deg,10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.686159675,-2.07639854
25.1188643,1.94099707,-2.3360513
39.8107171,1.10661333,-3.74111188
63.0957344,1.89540585,-4.48435534
100,1.83991722,-5.5717009
158.489319,1.77879674,-7.14532607
251.188643,1.69733807,-9.01555107
398.107171,1.59953408,-10.9956061
630.957344,1.49221579,-12.9045286
1000,1.37550684,-14.4892949
1584.89319,1.26053117,-15.6409804
2511.88643,1.15466244,-16.3337517
3981.07171,1.05859151,-16.6822371
6309.57344,0.975553367,-16.986693
10000,0.904351144,-17.631518
15848.9319,0.842339514,-19.1789444
25118.8643,0.78451413,-22.2141927
39810.7171,0.723443357,-27.4270518
63095.7344,0.646560349,-35.4628325
100000,0.543765909,-46.3857485
158489.319,0.420771064,-58.4887411
200000,0.355751917,-64.7750387
