Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1.05V,2.95V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.0897482092,-1.32643138
25.1188643,1.95283247,-1.65768523
39.8107171,0.454987147,-2.59868431
63.0957344,1.91132323,-2.88755032
100,1.87179385,-3.10080987
158.489319,1.83582109,-3.41413224
251.188643,1.79328868,-3.92447476
398.107171,1.75512148,-4.32222066
630.957344,1.71825993,-4.75596614
1000,1.67840315,-5.27779115
1584.89319,1.63763321,-6.0331182
2511.88643,1.59524663,-7.08101204
3981.07171,1.54655906,-8.61077168
6309.57344,1.4885036,-10.7593984
10000,1.42017451,-13.7539552
15848.9319,1.33907676,-17.8380283
25118.8643,1.23830494,-23.4650182
39810.7171,1.1155408,-31.1096658
63095.7344,0.960181614,-41.2875278
100000,0.765973583,-53.8241118
158489.319,0.552359819,-67.3661533
200000,0.452498465,-73.81622
