Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1.05V,2.95V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.71937685,-1.68839457
25.1188643,0.710706369,-1.35243327
39.8107171,1.93241198,-1.52247868
63.0957344,1.91507189,-2.57294935
100,1.87748562,-2.67073696
158.489319,1.84380079,-2.88701001
251.188643,1.81671174,-3.14319356
398.107171,1.78463195,-3.34041867
630.957344,1.75484255,-3.61409931
1000,1.7240829,-4.10844324
1584.89319,1.69175267,-4.77241213
2511.88643,1.659814,-5.75701462
3981.07171,1.62297176,-7.1734779
6309.57344,1.5740681,-9.26659112
10000,1.51427509,-12.1972099
15848.9319,1.44067834,-16.2780538
25118.8643,1.34404892,-21.9555128
39810.7171,1.21924338,-29.7722524
63095.7344,1.05843957,-40.1756109
100000,0.848584959,-52.9888443
158489.319,0.613333371,-66.8303802
200000,0.501136171,-73.3962151
