25.1188643,7772.9877142857085,-548.3171428571422
63.0957344,7461.025142857137,-866.7934285714277
100.0,7094.798285714282,-1123.2868571428567
158.489319,6681.93514285714,-1288.6917142857137
251.188643,6191.217714285711,-1466.493428571428
398.107171,5636.571142857139,-1579.982285714285
630.957344,5065.441999999998,-1609.3717142857136
1000.0,4512.445142857141,-1556.8917142857135
1584.89319,4008.221142857141,-1444.8939999999993
2511.88643,3573.736857142855,-1306.681142857142
3981.07171,3207.441714285713,-1168.7202857142852
6309.57344,2900.8719999999985,-1052.941714285714
10000.0,2645.0574285714274,-978.9679999999996
15848.9319,2422.8139999999985,-958.2754285714282
25118.8643,2213.3634285714274,-995.4805714285709
39810.7171,1986.676285714285,-1074.1165714285708
63095.7344,1710.5497142857134,-1139.8699999999994
100000.0,1367.7928571428565,-1102.0068571428565
158489.319,1086.8374285714274,-998.9454285714281
200000.0,832.8691428571426,-820.2311428571429
