Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.36V,1.24V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.872375695,-53.2710963
25.1188643,0.793575902,-44.6418086
39.8107171,0.606659366,-52.4609297
63.0957344,0.467844563,-50.701014
100,0.361007054,-47.2583614
158.489319,0.281508637,-42.825578
251.188643,0.230812126,-37.5566329
398.107171,0.194183978,-32.005945
630.957344,0.169128021,-26.8736773
1000,0.151038588,-22.489959
1584.89319,0.139155266,-19.461387
2511.88643,0.130257986,-17.6287831
3981.07171,0.121777449,-17.0549751
6309.57344,0.113159262,-17.5547549
10000,0.104362855,-18.9479355
15848.9319,0.0945653974,-20.9120846
25118.8643,0.0842204514,-23.1302245
39810.7171,0.0735342781,-25.1478052
63095.7344,0.0640232626,-26.5815453
100000,0.0554189507,-27.1182804
158489.319,0.0475368176,-26.8684152
200000,0.0441572578,-26.4686827
