Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.17V,0.63V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.513888346,-46.0779113
25.1188643,0.0738035814,-46.7095183
39.8107171,0.315298403,-48.0027838
63.0957344,0.292204215,-49.7271827
100,0.226879027,-51.184469
158.489319,0.173097315,-52.5005149
251.188643,0.130770746,-53.1965408
398.107171,0.0981887521,-52.9864748
630.957344,0.0736536766,-51.70177
1000,0.0557270303,-49.274546
1584.89319,0.0431142194,-45.7153307
2511.88643,0.0341058088,-41.7757217
3981.07171,0.0279163708,-37.9033776
6309.57344,0.0233905119,-34.4499569
10000,0.0199050234,-31.3722714
15848.9319,0.0170517505,-29.1725975
25118.8643,0.0148031262,-26.8027187
39810.7171,0.013008439,-24.4228584
63095.7344,0.0111289568,-22.048797
100000,0.0105159574,-19.80017
158489.319,0.00960420259,-17.5610889
200000,0.00930238288,-16.9031274
