sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
1,5,0.0496,12280,33.8992,6309.57344,doc,1cm,123.04,122.61,-69.07,1_0
1,5,0.0426,12280,28.9573,10000,doc,1cm,105.52,105.29,-51.42,1_0
1,5,0.0375,12280,24.8091,15848.9319,doc,1cm,92.8,92.66,-39.18,1_0
1,5,0.0338,12280,21.5964,25118.8643,doc,1cm,83.58,83.5,-30.94,1_0
1,5,0.0309,12280,18.9999,39810.7171,doc,1cm,76.36,76.31,-25.0,1_0
1,5,0.0259,12280,16.9299,63095.7344,doc,1cm,63.94,63.91,-18.71,1_0
1,5,0.0242,12280,15.6569,100000,doc,1cm,59.72,59.7,-16.19,1_0
1,5,0.0227,12280,15.1043,158489.319,doc,1cm,56.01,55.99,-14.66,1_0
1,5,0.022,12280,15.2247,200000,doc,1cm,54.27,54.25,-14.31,1_0
1,5,0.9802,12280,37.0632,20,ngang,1cm,2994.39,2667.28,-1999.7,1_0
1,5,0.9262,12280,39.1744,25.1188643,ngang,1cm,2791.92,2480.51,-1923.31,1_0
1,5,0.7589,12280,43.1034,39.8107171,ngang,1cm,2197.38,1972.55,-1589.22,1_0
1,5,0.6077,12280,47.4818,63.0957344,ngang,1cm,1699.01,1541.41,-1293.46,1_0
1,5,0.4722,12280,50.1509,100,ngang,1cm,1280.67,1182.65,-1002.78,1_0
1,5,0.369,12280,52.3954,158.489319,ngang,1cm,978.48,916.85,-784.35,1_0
1,5,0.2791,12280,53.7159,251.188643,ngang,1cm,725.99,690.59,-589.67,1_0
1,5,0.2088,12280,54.0913,398.107171,ngang,1cm,535.16,515.69,-435.95,1_0
1,5,0.1561,12280,53.402,630.957344,ngang,1cm,395.74,385.33,-319.37,1_0
1,5,0.117,12280,51.4741,1000,ngang,1cm,294.24,288.85,-231.42,1_0
1,5,0.0822,12280,48.3378,1584.89319,ngang,1cm,205.26,202.92,-154.15,1_0
1,5,0.0685,12280,43.9464,2511.88643,ngang,1cm,170.57,169.22,-119.08,1_0
1,5,0.0549,12280,38.6727,3981.07171,ngang,1cm,136.33,135.65,-85.71,1_0
1,5,0.0458,12280,33.2949,6309.57344,ngang,1cm,113.52,113.17,-62.7,1_0
1,5,0.0396,12280,28.3285,10000,ngang,1cm,98.03,97.84,-46.8,1_0
1,5,0.0351,12280,24.0443,15848.9319,ngang,1cm,86.82,86.71,-35.58,1_0
1,5,0.0318,12280,21.0035,25118.8643,ngang,1cm,78.6,78.53,-28.33,1_0
1,5,0.0291,12280,18.622,39810.7171,ngang,1cm,71.89,71.84,-23.08,1_0
1,5,0.027,12280,16.6676,63095.7344,ngang,1cm,66.67,66.64,-19.22,1_0
1,5,0.0229,12280,15.3488,100000,ngang,1cm,56.5,56.48,-15.02,1_0
1,5,0.0236,12280,14.7433,158489.319,ngang,1cm,58.24,58.22,-14.89,1_0
1,5,0.0228,12280,14.6966,200000,ngang,1cm,56.25,56.24,-14.33,1_0
1,5,0.6779,12280,48.0244,20,doc,1cm,1926.06,1719.2,-1478.75,2_0
1,5,0.5959,12280,49.3756,25.1188643,doc,1cm,1661.55,1500.5,-1293.13,2_0
1,5,0.1465,12280,52.1541,39.8107171,doc,1cm,370.66,361.92,-294.46,2_0
1,5,0.354,12280,54.117,63.0957344,doc,1cm,935.67,876.07,-764.0,2_0
1,5,0.2672,12280,54.7758,100,doc,1cm,693.29,659.88,-569.57,2_0
1,5,0.1997,12280,55.1419,158.489319,doc,1cm,510.87,492.5,-421.01,2_0
1,5,0.1501,12280,55.3001,251.188643,doc,1cm,380.05,369.83,-313.51,2_0
1,5,0.1123,12280,54.9784,398.107171,doc,1cm,282.15,276.57,-231.73,2_0
1,5,0.0837,12280,53.8323,630.957344,doc,1cm,209.07,206.11,-169.25,2_0
1,5,0.0611,12280,51.5899,1000,doc,1cm,151.92,150.47,-119.38,2_0
1,5,0.0478,12280,48.3571,1584.89319,doc,1cm,118.53,117.75,-88.85,2_0
1,5,0.0373,12280,43.9722,2511.88643,doc,1cm,92.3,91.9,-64.29,2_0
1,5,0.0301,12280,39.2546,3981.07171,doc,1cm,74.37,74.16,-47.22,2_0
1,5,0.0251,12280,34.608,6309.57344,doc,1cm,61.96,61.84,-35.3,2_0
1,5,0.0215,12280,30.8576,10000,doc,1cm,53.03,52.96,-27.28,2_0
1,5,0.0187,12280,27.8691,15848.9319,doc,1cm,46.1,46.06,-21.61,2_0
1,5,0.0165,12280,25.8289,25118.8643,doc,1cm,40.66,40.63,-17.76,2_0
1,5,0.0146,12280,24.2494,39810.7171,doc,1cm,35.96,35.94,-14.81,2_0
1,5,0.0129,12280,22.7729,63095.7344,doc,1cm,31.76,31.75,-12.32,2_0
1,5,0.0116,12280,21.0128,100000,doc,1cm,28.56,28.55,-10.26,2_0
1,5,0.0106,12280,19.5572,158489.319,doc,1cm,26.09,26.08,-8.75,2_0
1,5,0.0101,12280,18.66,200000,doc,1cm,24.86,24.85,-7.97,2_0
1,5,0.6155,12280,47.875,20,ngang,1cm,1723.88,1559.29,-1319.01,2_0
1,5,0.5424,12280,48.7784,25.1188643,ngang,1cm,1494.23,1366.81,-1153.3,2_0
1,5,0.4193,12280,50.7699,39.8107171,ngang,1cm,1124.06,1047.01,-885.38,2_0
1,5,0.3158,12280,52.2763,63.0957344,ngang,1cm,827.89,783.99,-662.01,2_0
1,5,0.2523,12280,52.5457,100,ngang,1cm,652.58,625.07,-522.65,2_0
1,5,0.1927,12280,53.2765,158.489319,ngang,1cm,492.24,476.21,-397.05,2_0
1,5,0.1465,12280,53.8798,251.188643,ngang,1cm,370.66,361.39,-300.77,2_0
1,5,0.1099,12280,53.9626,398.107171,ngang,1cm,275.98,270.82,-223.95,2_0
1,5,0.0822,12280,53.0139,630.957344,ngang,1cm,205.26,202.49,-164.47,2_0
1,5,0.0617,12280,50.868,1000,ngang,1cm,153.43,151.99,-119.39,2_0
1,5,0.0471,12280,47.5947,1584.89319,ngang,1cm,116.78,116.04,-86.51,2_0
1,5,0.0371,12280,43.4958,2511.88643,ngang,1cm,91.8,91.41,-63.4,2_0
1,5,0.03,12280,39.1422,3981.07171,ngang,1cm,74.12,73.92,-46.95,2_0
1,5,0.024,12280,35.0418,6309.57344,ngang,1cm,59.23,59.12,-34.11,2_0
1,5,0.0204,12280,31.6495,10000,ngang,1cm,50.31,50.24,-26.47,2_0
1,5,0.0177,12280,28.9834,15848.9319,ngang,1cm,43.63,43.59,-21.2,2_0
1,5,0.016,12280,26.5789,25118.8643,ngang,1cm,39.42,39.39,-17.68,2_0
1,5,0.0141,12280,24.428,39810.7171,ngang,1cm,34.73,34.71,-14.39,2_0
1,5,0.0126,12280,22.146,63095.7344,ngang,1cm,31.02,31.01,-11.72,2_0
1,5,0.0113,12280,20.1564,100000,ngang,1cm,27.82,27.81,-9.6,2_0
1,5,0.0104,12280,18.4289,158489.319,ngang,1cm,25.6,25.59,-8.11,2_0
1,5,0.01,12280,17.8098,200000,ngang,1cm,24.61,24.6,-7.54,2_0
2,5,0.2247,12280,2.0872,20,doc,1cm,577.83,577.79,-22.03,0_0
2,5,1.0968,12280,2.421,25.1188643,doc,1cm,3450.68,3448.47,-186.6,0_0
2,5,0.5735,12280,3.8881,39.8107171,doc,1cm,1591.0,1589.93,-121.78,0_0
2,5,1.8816,12280,4.7647,63.0957344,doc,1cm,7409.58,7360.36,-980.28,0_0
2,5,1.8243,12280,5.9378,100,doc,1cm,7054.32,6986.5,-1137.93,0_0
2,5,1.7566,12280,7.5586,158.489319,doc,1cm,6650.75,6555.61,-1329.36,0_0
2,5,0.074,12280,9.1613,251.188643,doc,1cm,184.47,184.4,-29.8,0_0
2,5,1.5752,12280,11.4132,398.107171,doc,1cm,5648.05,5501.89,-1589.5,0_0
2,5,1.464,12280,13.2929,630.957344,doc,1cm,5084.25,4929.55,-1602.74,0_0
