sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
2,5,0.0059,12280,26.7292,20,doc,1cm,14.51,14.5,-6.53,0_0
2,5,1.6315,12280,32.9969,25.1188643,doc,1cm,5947.7,4827.61,-3902.75,0_0
2,5,1.398,12280,31.3051,39.8107171,doc,1cm,4766.09,4119.55,-2971.45,0_0
2,5,1.2164,12280,19.461,63.0957344,doc,1cm,3947.93,3765.07,-1657.7,0_0
2,5,1.0737,12280,26.4755,100,doc,1cm,3358.13,3129.41,-1776.73,0_0
2,5,0.9642,12280,24.2951,158.489319,doc,1cm,2933.84,2787.59,-1420.98,0_0
2,5,0.8725,12280,22.8986,251.188643,doc,1cm,2595.83,2495.06,-1176.09,0_0
2,5,0.7915,12280,22.5436,398.107171,doc,1cm,2309.52,2233.2,-1017.23,0_0
2,5,0.7219,12280,23.1248,630.957344,doc,1cm,2072.17,2008.45,-921.92,0_0
2,5,0.653,12280,24.7453,1000,doc,1cm,1844.68,1787.89,-860.83,0_0
2,5,0.5806,12280,27.2962,1584.89319,doc,1cm,1613.29,1561.54,-810.22,0_0
2,5,0.5034,12280,30.2229,2511.88643,doc,1cm,1374.76,1329.7,-744.29,0_0
2,5,0.426,12280,33.0357,3981.07171,doc,1cm,1143.7,1107.19,-659.85,0_0
2,5,0.3533,12280,35.3875,6309.57344,doc,1cm,933.68,906.23,-564.74,0_0
2,5,0.2904,12280,37.0259,10000,doc,1cm,757.2,737.68,-471.63,0_0
2,5,0.2365,12280,37.9807,15848.9319,doc,1cm,609.68,596.47,-385.32,0_0
2,5,0.1923,12280,38.3534,25118.8643,doc,1cm,491.18,482.48,-311.38,0_0
2,5,0.1559,12280,38.1613,39810.7171,doc,1cm,395.21,389.65,-248.52,0_0
2,5,0.127,12280,37.1585,63095.7344,doc,1cm,320.04,316.58,-196.22,0_0
2,5,0.1045,12280,35.4137,100000,doc,1cm,262.13,260.02,-153.9,0_0
2,5,0.0869,12280,33.2418,158489.319,doc,1cm,217.2,215.92,-120.46,0_0
2,5,0.0799,12280,32.0333,200000,doc,1cm,199.42,198.41,-106.96,0_0
2,5,1.6669,12280,39.4717,20,ngang,1cm,6141.29,4575.09,-4363.33,0_0
2,5,1.5023,12280,39.4156,25.1188643,ngang,1cm,5274.39,4122.48,-3742.17,0_0
2,5,1.2322,12280,38.4316,39.8107171,ngang,1cm,4015.98,3380.02,-2788.29,0_0
2,5,1.03,12280,36.5983,63.0957344,ngang,1cm,3185.99,2822.12,-2119.24,0_0
2,5,0.8711,12280,33.7723,100,ngang,1cm,2590.79,2384.98,-1605.61,0_0
2,5,0.7486,12280,30.9019,158.489319,ngang,1cm,2162.3,2042.13,-1233.51,0_0
2,5,0.6581,12280,28.3731,251.188643,ngang,1cm,1861.27,1786.29,-977.57,0_0
2,5,0.5831,12280,26.5009,398.107171,ngang,1cm,1621.15,1571.73,-793.94,0_0
2,5,0.5218,12280,25.4046,630.957344,ngang,1cm,1430.87,1395.7,-668.56,0_0
2,5,0.4686,12280,25.2387,1000,ngang,1cm,1269.9,1242.78,-584.73,0_0
2,5,0.416,12280,25.82,1584.89319,ngang,1cm,1114.42,1092.78,-519.17,0_0
2,5,0.3676,12280,26.7758,2511.88643,ngang,1cm,974.47,956.86,-465.29,0_0
2,5,0.3209,12280,28.1068,3981.07171,ngang,1cm,842.18,827.84,-416.77,0_0
2,5,0.2769,12280,29.524,6309.57344,ngang,1cm,719.94,708.49,-369.62,0_0
2,5,0.2376,12280,30.8821,10000,ngang,1cm,612.66,603.66,-325.32,0_0
2,5,0.2008,12280,32.075,15848.9319,ngang,1cm,513.8,507.03,-280.52,0_0
2,5,0.1687,12280,32.9955,25118.8643,ngang,1cm,428.79,423.83,-238.88,0_0
2,5,0.1406,12280,33.4949,39810.7171,ngang,1cm,355.3,351.81,-199.78,0_0
2,5,0.1171,12280,33.3246,63095.7344,ngang,1cm,294.49,292.12,-164.34,0_0
2,5,0.098,12280,32.3311,100000,ngang,1cm,245.5,243.95,-133.08,0_0
2,5,0.0826,12280,30.7911,158489.319,ngang,1cm,206.27,205.28,-106.85,0_0
2,5,0.0761,12280,29.8095,200000,ngang,1cm,189.79,189.0,-95.41,0_0
2,5,1.1018,12280,38.9482,20,doc,1cm,3470.86,2988.83,-2410.09,1_0
2,5,0.9643,12280,43.8998,25.1188643,doc,1cm,2934.21,2517.38,-2162.88,1_0
2,5,0.7936,12280,41.4997,39.8107171,doc,1cm,2316.8,2082.14,-1640.11,1_0
2,5,0.6531,12280,38.1096,63.0957344,doc,1cm,1845.01,1718.27,-1219.88,1_0
2,5,0.5445,12280,33.6764,100,doc,1cm,1500.72,1434.6,-892.75,1_0
2,5,0.4687,12280,29.1015,158.489319,doc,1cm,1270.2,1234.56,-662.58,1_0
2,5,0.4129,12280,24.9323,251.188643,doc,1cm,1105.36,1085.48,-498.78,1_0
2,5,0.3746,12280,21.491,398.107171,doc,1cm,994.53,982.54,-389.12,1_0
2,5,0.3439,12280,19.013,630.957344,doc,1cm,907.0,899.2,-314.59,1_0
2,5,0.3214,12280,17.6397,1000,doc,1cm,843.58,837.79,-271.32,1_0
2,5,0.3009,12280,17.4568,1584.89319,doc,1cm,786.33,781.42,-249.43,1_0
2,5,0.2805,12280,18.4103,2511.88643,doc,1cm,729.85,725.17,-242.64,1_0
2,5,0.2578,12280,20.4085,3981.07171,doc,1cm,667.58,662.79,-243.69,1_0
2,5,0.2339,12280,23.1845,6309.57344,doc,1cm,602.65,597.66,-246.85,1_0
2,5,0.2069,12280,26.3282,10000,doc,1cm,530.08,525.16,-242.98,1_0
2,5,0.1788,12280,29.4875,15848.9319,doc,1cm,455.42,450.91,-230.19,1_0
2,5,0.151,12280,32.2987,25118.8643,doc,1cm,382.4,378.62,-208.62,1_0
2,5,0.1255,12280,34.501,39810.7171,doc,1cm,316.16,313.24,-182.0,1_0
2,5,0.1031,12280,35.7146,63095.7344,doc,1cm,258.54,256.46,-152.87,1_0
2,5,0.0844,12280,35.8793,100000,doc,1cm,210.85,209.44,-124.87,1_0
2,5,0.069,12280,35.0753,158489.319,doc,1cm,171.84,170.94,-99.61,1_0
2,5,0.0627,12280,34.414,200000,doc,1cm,155.95,155.24,-88.86,1_0
2,5,0.9601,12280,53.8506,20,ngang,1cm,2918.4,2350.78,-2349.72,1_0
2,5,0.8397,12280,54.1605,25.1188643,ngang,1cm,2478.55,2063.25,-2010.52,1_0
2,5,0.6214,12280,53.9614,39.8107171,ngang,1cm,1742.75,1537.35,-1419.78,1_0
2,5,0.4969,12280,52.8084,63.0957344,ngang,1cm,1355.05,1235.15,-1092.67,1_0
2,5,0.3795,12280,50.0592,100,ngang,1cm,1008.61,948.14,-786.75,1_0
2,5,0.2937,12280,46.3577,158.489319,ngang,1cm,766.34,736.02,-565.93,1_0
2,5,0.2332,12280,41.7796,251.188643,ngang,1cm,600.76,585.43,-409.17,1_0
2,5,0.1906,12280,36.7451,398.107171,ngang,1cm,486.67,478.79,-297.81,1_0
2,5,0.1609,12280,31.6819,630.957344,ngang,1cm,408.31,404.15,-219.33,1_0
2,5,0.141,12280,27.1102,1000,ngang,1cm,356.34,354.01,-166.01,1_0
2,5,0.1261,12280,23.4391,1584.89319,ngang,1cm,317.71,316.32,-129.08,1_0
2,5,0.1153,12280,20.9358,2511.88643,ngang,1cm,289.86,288.93,-105.68,1_0
2,5,0.1057,12280,19.5664,3981.07171,ngang,1cm,265.21,264.53,-90.5,1_0
2,5,0.0972,12280,19.2405,6309.57344,ngang,1cm,243.46,242.9,-81.63,1_0
2,5,0.0891,12280,19.6879,10000,ngang,1cm,222.8,222.32,-76.26,1_0
2,5,0.0813,12280,20.5939,15848.9319,ngang,1cm,202.97,202.53,-72.42,1_0
2,5,0.0725,12280,21.6613,25118.8643,ngang,1cm,180.68,180.3,-67.53,1_0
2,5,0.0644,12280,22.5817,39810.7171,ngang,1cm,160.23,159.9,-62.21,1_0
2,5,0.0572,12280,22.9889,63095.7344,ngang,1cm,142.11,141.84,-56.04,1_0
2,5,0.0505,12280,22.866,100000,ngang,1cm,125.29,125.09,-49.1,1_0
2,5,0.0447,12280,22.4802,158489.319,ngang,1cm,110.77,110.62,-42.68,1_0
2,5,0.0421,12280,22.163,200000,ngang,1cm,104.28,104.14,-39.62,1_0
2,5,1.1356,12280,42.9006,20,doc,1cm,3608.62,2998.39,-2641.18,2_0
2,5,0.9703,12280,48.934,25.1188643,doc,1cm,2956.87,2453.5,-2295.56,2_0
2,5,0.7871,12280,48.8275,39.8107171,doc,1cm,2294.28,1992.13,-1779.93,2_0
2,5,0.6221,12280,47.7396,63.0957344,doc,1cm,1744.99,1577.13,-1333.25,2_0
2,5,0.4914,12280,45.0211,100,doc,1cm,1338.42,1249.71,-980.46,2_0
2,5,0.3913,12280,41.2935,158.489319,doc,1cm,1042.63,996.87,-713.77,2_0
2,5,0.3218,12280,36.9901,251.188643,doc,1cm,844.71,820.37,-527.59,2_0
2,5,0.2709,12280,32.4557,398.107171,doc,1cm,703.44,690.35,-391.71,2_0
2,5,0.2352,12280,28.1572,630.957344,doc,1cm,606.17,598.8,-296.53,2_0
2,5,0.2093,12280,24.5021,1000,doc,1cm,536.5,532.11,-230.33,2_0
2,5,0.1892,12280,21.6983,1584.89319,doc,1cm,482.95,480.16,-184.51,2_0
2,5,0.1732,12280,19.832,2511.88643,doc,1cm,440.64,438.7,-154.18,2_0
2,5,0.1603,12280,18.9913,3981.07171,doc,1cm,406.74,405.22,-136.24,2_0
2,5,0.1478,12280,19.1381,6309.57344,doc,1cm,374.05,372.75,-125.93,2_0
2,5,0.1355,12280,20.0304,10000,doc,1cm,342.06,340.87,-120.01,2_0
2,5,0.1227,12280,21.4571,15848.9319,doc,1cm,308.93,307.83,-115.44,2_0
2,5,0.1099,12280,23.2839,25118.8643,doc,1cm,275.98,274.94,-111.13,2_0
2,5,0.0969,12280,25.0391,39810.7171,doc,1cm,242.69,241.77,-104.35,2_0
2,5,0.0843,12280,26.3999,63095.7344,doc,1cm,210.59,209.82,-94.9,2_0
2,5,0.073,12280,27.1369,100000,doc,1cm,181.94,181.34,-83.94,2_0
2,5,0.0628,12280,27.3022,158489.319,doc,1cm,156.2,155.75,-72.35,2_0
2,5,0.0585,12280,27.1835,200000,doc,1cm,145.38,144.99,-67.02,2_0
2,5,0.0059,12280,52.0936,20,ngang,1cm,14.51,14.49,-11.45,2_0
2,5,0.8657,12280,52.7691,25.1188643,ngang,1cm,2571.37,2142.39,-2063.28,2_0
2,5,0.6703,12280,40.5565,39.8107171,ngang,1cm,1901.12,1750.58,-1314.55,2_0
2,5,0.5181,12280,51.8845,63.0957344,ngang,1cm,1419.55,1291.82,-1134.01,2_0
2,5,0.3969,12280,49.0274,100,ngang,1cm,1058.84,994.57,-815.77,2_0
2,5,0.3094,12280,45.3496,158.489319,ngang,1cm,810.01,777.43,-589.61,2_0
2,5,0.2464,12280,40.8034,251.188643,ngang,1cm,636.53,620.04,-426.21,2_0
2,5,0.2038,12280,35.8172,398.107171,ngang,1cm,521.8,513.17,-313.09,2_0
2,5,0.1729,12280,30.8408,630.957344,ngang,1cm,439.85,435.27,-231.14,2_0
2,5,0.152,12280,26.335,1000,ngang,1cm,385.02,382.44,-174.98,2_0
2,5,0.1364,12280,22.6913,1584.89319,ngang,1cm,344.39,342.85,-135.97,2_0
2,5,0.1247,12280,20.1309,2511.88643,ngang,1cm,314.1,313.09,-110.51,2_0
2,5,0.1151,12280,18.5793,3981.07171,ngang,1cm,289.35,288.62,-94.13,2_0
2,5,0.1066,12280,18.0249,6309.57344,ngang,1cm,267.51,266.93,-84.4,2_0
2,5,0.0982,12280,18.2438,10000,ngang,1cm,246.01,245.5,-78.4,2_0
2,5,0.0901,12280,18.9438,15848.9319,ngang,1cm,225.35,224.89,-74.35,2_0
2,5,0.0819,12280,19.959,25118.8643,ngang,1cm,204.5,204.08,-70.82,2_0
2,5,0.0738,12280,20.966,39810.7171,ngang,1cm,183.97,183.59,-66.68,2_0
2,5,0.066,12280,21.6983,63095.7344,ngang,1cm,164.26,163.95,-61.43,2_0
2,5,0.0589,12280,22.0722,100000,ngang,1cm,146.38,146.12,-55.56,2_0
2,5,0.0524,12280,22.2426,158489.319,ngang,1cm,130.06,129.85,-49.67,2_0
2,5,0.0494,12280,22.2638,200000,ngang,1cm,122.54,122.35,-46.82,2_0
3,5,2.2835,12280,16.6386,20,doc,1cm,10322.61,9138.36,-4816.28,0_0
3,5,2.0809,12280,15.6323,25.1188643,doc,1cm,8753.88,8028.5,-3705.64,0_0
3,5,1.9796,12280,14.0953,39.8107171,doc,1cm,8048.43,7554.74,-3045.75,0_0
3,5,0.5296,12280,14.5338,63.0957344,doc,1cm,1454.79,1442.54,-404.9,0_0
3,5,0.581,12280,12.9961,100,doc,1cm,1614.55,1602.32,-407.72,0_0
