sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
1,5,0.7141,12280,39.9285,20,doc,1cm,2046.05,1875.84,-1404.7,0_0
1,5,0.1111,12280,40.3894,25.1188643,doc,1cm,279.06,275.98,-182.91,0_0
1,5,1.0978,12280,41.3579,39.8107171,doc,1cm,3454.71,2927.91,-2479.17,0_0
1,5,0.9097,12280,40.5456,63.0957344,doc,1cm,2731.12,2415.51,-1919.61,0_0
1,5,0.7527,12280,38.3347,100,doc,1cm,2176.24,1996.47,-1457.89,0_0
1,5,0.6323,12280,35.5337,158.489319,doc,1cm,1777.74,1674.28,-1114.0,0_0
1,5,0.5405,12280,32.4873,251.188643,doc,1cm,1488.36,1427.56,-859.74,0_0
1,5,0.4715,12280,29.6388,398.107171,doc,1cm,1278.57,1241.18,-677.74,0_0
1,5,0.4197,12280,27.4704,630.957344,doc,1cm,1125.24,1100.37,-554.12,0_0
1,5,0.3751,12280,26.2642,1000,doc,1cm,995.96,978.22,-468.0,0_0
1,5,0.337,12280,26.1594,1584.89319,doc,1cm,887.49,873.59,-412.99,0_0
1,5,0.3004,12280,27.3413,2511.88643,doc,1cm,784.94,773.16,-377.82,0_0
1,5,0.2632,12280,29.42,3981.07171,doc,1cm,682.34,672.14,-348.52,0_0
1,5,0.2257,12280,31.8725,6309.57344,doc,1cm,580.52,571.96,-316.3,0_0
1,5,0.1891,12280,34.0584,10000,doc,1cm,482.68,475.99,-277.06,0_0
1,5,0.1559,12280,35.5302,15848.9319,doc,1cm,395.21,390.36,-234.17,0_0
1,5,0.1273,12280,36.1596,25118.8643,doc,1cm,320.82,317.52,-192.25,0_0
1,5,0.1039,12280,35.7854,39810.7171,doc,1cm,260.59,258.46,-154.35,0_0
1,5,0.0853,12280,34.2173,63095.7344,doc,1cm,213.13,211.83,-121.19,0_0
1,5,0.0712,12280,31.5936,100000,doc,1cm,177.39,176.62,-93.87,0_0
1,5,0.0609,12280,28.4855,158489.319,doc,1cm,151.41,150.95,-72.89,0_0
1,5,0.0569,12280,26.9346,200000,doc,1cm,141.36,140.99,-64.6,0_0
1,5,1.5762,12280,40.9092,20,ngang,1cm,5653.29,4255.16,-4069.83,0_0
1,5,0.0733,12280,40.2594,25.1188643,ngang,1cm,182.7,181.39,-118.98,0_0
1,5,1.1223,12280,40.9118,39.8107171,ngang,1cm,3554.13,3005.74,-2538.42,0_0
1,5,0.9254,12280,39.6761,63.0957344,ngang,1cm,2788.96,2471.42,-1936.4,0_0
1,5,0.7671,12280,37.0451,100,ngang,1cm,2225.42,2048.26,-1457.69,0_0
1,5,0.6487,12280,33.9763,158.489319,ngang,1cm,1830.73,1729.45,-1110.66,0_0
1,5,0.5578,12280,30.7096,251.188643,ngang,1cm,1541.98,1483.11,-852.56,0_0
1,5,0.493,12280,27.7564,398.107171,ngang,1cm,1343.25,1306.71,-675.14,0_0
1,5,0.435,12280,25.6967,630.957344,ngang,1cm,1170.16,1146.46,-544.5,0_0
1,5,0.3932,12280,24.3961,1000,ngang,1cm,1048.12,1031.04,-462.22,0_0
1,5,0.3572,12280,24.2999,1584.89319,ngang,1cm,944.78,931.08,-412.64,0_0
1,5,0.321,12280,25.4141,2511.88643,ngang,1cm,842.46,830.65,-380.95,0_0
1,5,0.2842,12280,27.3993,3981.07171,ngang,1cm,740.06,729.57,-355.99,0_0
1,5,0.246,12280,29.7664,6309.57344,ngang,1cm,635.44,626.42,-327.1,0_0
1,5,0.2092,12280,32.0235,10000,ngang,1cm,536.23,528.87,-292.7,0_0
1,5,0.1748,12280,33.7224,15848.9319,ngang,1cm,444.86,439.29,-252.73,0_0
1,5,0.144,12280,34.6791,25118.8643,ngang,1cm,364.15,360.22,-211.05,0_0
1,5,0.1182,12280,34.6479,39810.7171,ngang,1cm,297.33,294.72,-171.62,0_0
