sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
1,5,0.0059,12280,42.8836,20,ngang,1cm,14.51,14.5,-9.88,1_0
1,5,0.8218,12280,45.5785,25.1188643,ngang,1cm,2415.32,2116.13,-1808.83,1_0
1,5,0.648,12280,50.008,39.8107171,ngang,1cm,1828.46,1629.06,-1434.1,1_0
1,5,0.5002,12280,53.7975,63.0957344,ngang,1cm,1365.05,1239.5,-1111.54,1_0
1,5,0.3753,12280,56.0713,100,ngang,1cm,996.54,924.69,-829.64,1_0
1,5,0.2788,12280,57.3586,158.489319,ngang,1cm,725.17,685.55,-611.47,1_0
1,5,0.1397,12280,57.5896,251.188643,ngang,1cm,352.97,343.48,-298.36,1_0
1,5,0.1499,12280,56.4801,398.107171,ngang,1cm,379.53,368.95,-317.14,1_0
1,5,0.1104,12280,54.0256,630.957344,ngang,1cm,277.26,272.04,-225.16,1_0
1,5,0.0827,12280,50.0647,1000,ngang,1cm,206.53,204.0,-159.07,1_0
1,5,0.0637,12280,44.9256,1584.89319,ngang,1cm,158.47,157.25,-112.49,1_0
1,5,0.051,12280,38.821,2511.88643,ngang,1cm,126.55,125.96,-79.78,1_0
1,5,0.0426,12280,32.9359,3981.07171,ngang,1cm,105.52,105.23,-57.71,1_0
1,5,0.037,12280,27.3887,6309.57344,ngang,1cm,91.55,91.39,-42.36,1_0
1,5,0.0331,12280,22.8463,10000,ngang,1cm,81.84,81.75,-31.95,1_0
1,5,0.0299,12280,19.3735,15848.9319,ngang,1cm,73.88,73.82,-24.64,1_0
1,5,0.0276,12280,16.8126,25118.8643,ngang,1cm,68.16,68.13,-19.82,1_0
1,5,0.0258,12280,15.0517,39810.7171,ngang,1cm,63.69,63.67,-16.62,1_0
1,5,0.0243,12280,13.8376,63095.7344,ngang,1cm,59.97,59.95,-14.41,1_0
1,5,0.0232,12280,13.111,100000,ngang,1cm,57.24,57.23,-13.04,1_0
1,5,0.022,12280,13.1682,158489.319,ngang,1cm,54.27,54.26,-12.42,1_0
1,5,0.0214,12280,13.4367,200000,ngang,1cm,52.78,52.77,-12.32,1_0
1,5,0.4237,12280,46.0581,20,doc,1cm,1136.95,1070.54,-842.29,2_0
1,5,0.4625,12280,46.6108,25.1188643,doc,1cm,1251.68,1169.31,-936.46,2_0
1,5,0.3675,12280,47.558,39.8107171,doc,1cm,974.18,922.69,-735.01,2_0
1,5,0.2929,12280,48.8185,63.0957344,doc,1cm,764.12,731.03,-584.5,2_0
1,5,0.2285,12280,49.2405,100,doc,1cm,588.07,568.21,-451.06,2_0
1,5,0.1755,12280,50.7803,158.489319,doc,1cm,446.71,434.6,-348.99,2_0
1,5,0.1334,12280,51.2068,251.188643,doc,1cm,336.61,329.63,-264.0,2_0
1,5,0.1014,12280,50.8521,398.107171,doc,1cm,254.19,250.26,-198.13,2_0
1,5,0.077,12280,49.5288,630.957344,doc,1cm,192.07,189.93,-146.76,2_0
1,5,0.0591,12280,47.2921,1000,doc,1cm,146.89,145.74,-108.38,2_0
1,5,0.0463,12280,43.7557,1584.89319,doc,1cm,114.78,114.17,-79.7,2_0
1,5,0.0371,12280,39.8189,2511.88643,doc,1cm,91.8,91.47,-59.02,2_0
1,5,0.0306,12280,36.0815,3981.07171,doc,1cm,75.62,75.43,-44.7,2_0
1,5,0.026,12280,32.6073,6309.57344,doc,1cm,64.19,64.08,-34.71,2_0
1,5,0.0224,12280,29.7164,10000,doc,1cm,55.26,55.19,-27.48,2_0
1,5,0.0182,12280,27.6819,15848.9319,doc,1cm,44.86,44.82,-20.9,2_0
1,5,0.017,12280,25.8552,25118.8643,doc,1cm,41.89,41.86,-18.32,2_0
1,5,0.0149,12280,23.9414,39810.7171,doc,1cm,36.7,36.68,-14.93,2_0
1,5,0.0132,12280,21.6734,63095.7344,doc,1cm,32.51,32.49,-12.03,2_0
1,5,0.012,12280,19.834,100000,doc,1cm,29.54,29.53,-10.05,2_0
1,5,0.011,12280,18.1251,158489.319,doc,1cm,27.08,27.07,-8.44,2_0
1,5,0.0106,12280,17.8905,200000,doc,1cm,26.09,26.08,-8.03,2_0
1,5,0.4982,12280,46.2656,20,ngang,1cm,1358.99,1263.0,-1013.69,2_0
1,5,0.447,12280,47.1489,25.1188643,ngang,1cm,1205.61,1127.69,-908.0,2_0
1,5,0.3563,12280,47.7129,39.8107171,ngang,1cm,942.22,893.79,-712.03,2_0
1,5,0.0586,12280,49.898,63.0957344,ngang,1cm,145.63,144.38,-111.76,2_0
1,5,0.2194,12280,51.1451,100,ngang,1cm,563.58,544.04,-443.17,2_0
1,5,0.167,12280,52.2837,158.489319,ngang,1cm,424.32,412.81,-337.88,2_0
1,5,0.1263,12280,52.838,251.188643,ngang,1cm,318.23,311.63,-254.82,2_0
1,5,0.0949,12280,52.4567,398.107171,ngang,1cm,237.58,233.95,-189.11,2_0
1,5,0.0712,12280,50.8955,630.957344,ngang,1cm,177.39,175.47,-138.15,2_0
1,5,0.0534,12280,47.8682,1000,ngang,1cm,132.57,131.61,-98.66,2_0
1,5,0.0416,12280,43.9005,1584.89319,ngang,1cm,103.03,102.53,-71.7,2_0
1,5,0.033,12280,39.4383,2511.88643,ngang,1cm,81.59,81.33,-52.01,2_0
1,5,0.0278,12280,34.7703,3981.07171,ngang,1cm,68.66,68.52,-39.3,2_0
1,5,0.0238,12280,30.7375,6309.57344,ngang,1cm,58.73,58.65,-30.12,2_0
1,5,0.0206,12280,27.163,10000,ngang,1cm,50.8,50.75,-23.27,2_0
1,5,0.018,12280,24.5269,15848.9319,ngang,1cm,44.37,44.34,-18.47,2_0
1,5,0.0164,12280,22.2622,25118.8643,ngang,1cm,40.41,40.39,-15.35,2_0
1,5,0.0147,12280,19.8249,39810.7171,ngang,1cm,36.21,36.2,-12.31,2_0
1,5,0.0136,12280,17.9279,63095.7344,ngang,1cm,33.49,33.48,-10.34,2_0
1,5,0.0125,12280,16.2885,100000,ngang,1cm,30.78,30.77,-8.65,2_0
1,5,0.0117,12280,15.2663,158489.319,ngang,1cm,28.8,28.8,-7.6,2_0
1,5,0.0113,12280,14.9745,200000,ngang,1cm,27.82,27.81,-7.2,2_0
2,5,0.045,12280,1.1667,20,doc,1cm,111.52,111.52,-2.29,0_0
2,5,1.9575,12280,1.5839,25.1188643,doc,1cm,7900.77,7894.39,-358.6,0_0
2,5,0.5738,12280,2.213,39.8107171,doc,1cm,1591.94,1591.6,-69.43,0_0
2,5,1.9308,12280,2.4025,63.0957344,doc,1cm,7725.21,7711.32,-526.61,0_0
2,5,1.8976,12280,2.6449,100,doc,1cm,7511.13,7495.38,-557.44,0_0
2,5,1.864,12280,3.0891,158.489319,doc,1cm,7299.08,7279.03,-625.41,0_0
2,5,1.8284,12280,3.6119,251.188643,doc,1cm,7079.31,7053.84,-700.56,0_0
2,5,1.7888,12280,4.1381,398.107171,doc,1cm,6840.58,6809.77,-765.13,0_0
2,5,1.7437,12280,4.702,630.957344,doc,1cm,6575.76,6539.55,-823.13,0_0
2,5,1.7018,12280,5.2511,1000,doc,1cm,6336.21,6294.87,-873.37,0_0
2,5,1.6569,12280,5.866,1584.89319,doc,1cm,6086.19,6039.29,-923.14,0_0
2,5,1.617,12280,6.75,2511.88643,doc,1cm,5869.57,5812.63,-1009.76,0_0
2,5,1.5687,12280,8.0297,3981.07171,doc,1cm,5614.09,5541.68,-1128.0,0_0
2,5,1.5198,12280,9.8906,6309.57344,doc,1cm,5362.66,5264.45,-1299.16,0_0
2,5,1.4592,12280,12.5936,10000,doc,1cm,5060.71,4922.81,-1515.69,0_0
2,5,1.3885,12280,16.4667,15848.9319,doc,1cm,4721.25,4523.65,-1775.28,0_0
2,5,1.3,12280,21.9627,25118.8643,doc,1cm,4314.59,4036.3,-2040.05,0_0
2,5,1.1846,12280,29.6352,39810.7171,doc,1cm,3812.68,3445.69,-2232.93,0_0
2,5,1.0299,12280,40.0343,63095.7344,doc,1cm,3185.61,2762.33,-2238.01,0_0
2,5,0.8307,12280,53.0059,100000,doc,1cm,2446.69,2055.16,-1968.81,0_0
2,5,0.6028,12280,67.1475,158489.319,doc,1cm,1683.43,1413.5,-1481.46,0_0
2,5,0.4927,12280,73.9063,200000,doc,1cm,1342.35,1141.82,-1217.33,0_0
2,5,1.968,12280,1.0022,20,doc,1cm,7970.66,7968.05,-229.83,0_0
2,5,1.6587,12280,1.4732,25.1188643,doc,1cm,6096.08,6093.09,-234.41,0_0
2,5,1.9494,12280,1.6457,39.8107171,doc,1cm,7847.19,7840.41,-369.06,0_0
2,5,1.9368,12280,2.2442,63.0957344,doc,1cm,7764.4,7752.12,-495.5,0_0
2,5,1.9083,12280,1.9249,100,doc,1cm,7579.62,7571.09,-411.28,0_0
2,5,1.8739,12280,2.7709,158.489319,doc,1cm,7361.09,7344.62,-567.89,0_0
2,5,1.8384,12280,3.3584,251.188643,doc,1cm,7140.55,7118.06,-659.46,0_0
2,5,1.8038,12280,3.8394,398.107171,doc,1cm,6930.31,6902.95,-723.08,0_0
2,5,1.7631,12280,4.3035,630.957344,doc,1cm,6688.77,6657.17,-771.65,0_0
2,5,1.7231,12280,4.7651,1000,doc,1cm,6457.22,6421.59,-813.95,0_0
2,5,1.6851,12280,5.3477,1584.89319,doc,1cm,6242.43,6201.03,-871.72,0_0
2,5,1.644,12280,6.2118,2511.88643,doc,1cm,6015.59,5964.46,-961.53,0_0
2,5,1.6045,12280,7.4238,3981.07171,doc,1cm,5802.76,5735.82,-1091.32,0_0
2,5,1.5558,12280,9.2377,6309.57344,doc,1cm,5547.07,5454.27,-1271.1,0_0
2,5,1.4998,12280,11.8685,10000,doc,1cm,5261.85,5127.61,-1506.47,0_0
2,5,1.4319,12280,15.6185,15848.9319,doc,1cm,4928.04,4731.47,-1785.09,0_0
2,5,1.3455,12280,20.9471,25118.8643,doc,1cm,4521.2,4238.85,-2073.41,0_0
2,5,1.2352,12280,28.438,39810.7171,doc,1cm,4028.97,3645.42,-2305.65,0_0
2,5,1.0838,12280,38.6805,63095.7344,doc,1cm,3398.46,2942.1,-2347.82,0_0
2,5,0.8792,12280,51.6429,100000,doc,1cm,2620.02,2189.49,-2083.53,0_0
2,5,0.6454,12280,65.8824,158489.319,doc,1cm,1820.03,1514.72,-1587.77,0_0
2,5,0.5294,12280,72.7874,200000,doc,1cm,1454.17,1225.26,-1309.34,0_0
2,5,0.2289,12280,40.9035,20,doc,1cm,589.15,574.98,-394.59,1_0
2,5,0.9114,12280,43.7877,25.1188643,doc,1cm,2737.37,2376.72,-2011.49,1_0
2,5,0.7205,12280,48.869,39.8107171,doc,1cm,2067.47,1821.91,-1603.53,1_0
2,5,0.5596,12280,52.865,63.0957344,doc,1cm,1547.58,1390.91,-1248.78,1_0
2,5,0.4208,12280,54.6657,100,doc,1cm,1128.46,1040.26,-926.76,1_0
2,5,0.3133,12280,56.0321,158.489319,doc,1cm,820.9,772.17,-683.32,1_0
2,5,0.2305,12280,55.5301,251.188643,doc,1cm,593.47,568.38,-491.31,1_0
2,5,0.1706,12280,53.3851,398.107171,doc,1cm,433.79,421.3,-350.15,1_0
2,5,0.1283,12280,49.6432,630.957344,doc,1cm,323.4,317.32,-248.2,1_0
2,5,0.0796,12280,44.5809,1000,doc,1cm,198.66,196.78,-140.37,1_0
2,5,0.0796,12280,38.7527,1584.89319,doc,1cm,198.66,197.22,-125.46,1_0
2,5,0.0668,12280,32.9308,2511.88643,doc,1cm,166.28,165.54,-91.22,1_0
2,5,0.0581,12280,27.9665,3981.07171,doc,1cm,144.37,143.97,-68.31,1_0
2,5,0.052,12280,23.9281,6309.57344,doc,1cm,129.05,128.82,-52.8,1_0
2,5,0.0473,12280,21.2528,10000,doc,1cm,117.28,117.12,-42.86,1_0
2,5,0.0433,12280,19.4694,15848.9319,doc,1cm,107.27,107.16,-36.03,1_0
2,5,0.0399,12280,18.5664,25118.8643,doc,1cm,98.78,98.7,-31.68,1_0
2,5,0.0367,12280,18.2469,39810.7171,doc,1cm,90.8,90.73,-28.62,1_0
2,5,0.0337,12280,18.371,63095.7344,doc,1cm,83.33,83.27,-26.42,1_0
2,5,0.0308,12280,18.6271,100000,doc,1cm,76.11,76.06,-24.45,1_0
2,5,0.028,12280,19.1577,158489.319,doc,1cm,69.16,69.11,-22.81,1_0
2,5,0.0267,12280,19.5257,200000,doc,1cm,65.93,65.89,-22.14,1_0
2,5,0.9463,12280,42.9864,20,ngang,1cm,2866.66,2482.52,-2088.0,1_0
2,5,0.8519,12280,45.3217,25.1188643,ngang,1cm,2521.96,2198.52,-1884.57,1_0
2,5,0.6691,12280,50.2276,39.8107171,ngang,1cm,1897.19,1680.91,-1491.74,1_0
2,5,0.5157,12280,52.822,63.0957344,ngang,1cm,1412.22,1281.92,-1139.01,1_0
2,5,0.3856,12280,56.3709,100,ngang,1cm,1026.17,949.3,-856.62,1_0
2,5,0.2575,12280,57.4441,158.489319,ngang,1cm,666.76,633.17,-562.74,1_0
