Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.95V,3.05V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.96796716,-1.00216331
25.1188643,1.65871495,-1.47315225
39.8107171,1.94935251,-1.64570053
63.0957344,1.93677292,-2.24424263
100,1.9083126,-1.92493405
158.489319,1.87386434,-2.77092689
251.188643,1.8384483,-3.35840394
398.107171,1.80376746,-3.83941424
630.957344,1.76313804,-4.3034682
1000,1.72310563,-4.76512794
1584.89319,1.68507366,-5.34767534
2511.88643,1.64395792,-6.21176921
3981.07171,1.6045324,-7.42376371
6309.57344,1.55579603,-9.23770896
10000,1.49977462,-11.8684924
15848.9319,1.43193007,-15.6184663
25118.8643,1.34550078,-20.9470578
39810.7171,1.23521653,-28.4379964
63095.7344,1.08377096,-38.6805395
100000,0.879238771,-51.6429057
158489.319,0.645400638,-65.8823615
200000,0.529442953,-72.7873944
