Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1V,3V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.0450078164,-1.16668895
25.1188643,1.95751973,-1.58385057
39.8107171,0.573762777,-2.21299041
63.0957344,1.93083486,-2.4025369
100,1.89763851,-2.64490015
158.489319,1.86403619,-3.08914893
251.188643,1.8284013,-3.61189463
398.107171,1.78881501,-4.13812217
630.957344,1.74372293,-4.70199494
1000,1.70181084,-5.25109148
1584.89319,1.65686513,-5.86599982
2511.88643,1.61700415,-6.74999967
3981.07171,1.56865244,-8.02969953
6309.57344,1.51981319,-9.89059979
10000,1.45924352,-12.5936483
15848.9319,1.38848628,-16.4666505
25118.8643,1.30001185,-21.9626515
39810.7171,1.18455842,-29.6352367
63095.7344,1.02994612,-40.0343239
100000,0.830720435,-53.0059498
158489.319,0.602790805,-67.1475339
200000,0.492721203,-73.9063379
