Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.3V,1.3V
Phase Unit,Degree
Phase Axis Range,-60Deg,-20Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.25859005,-38.2845743
25.1188643,1.10371282,-44.2689836
39.8107171,0.885096649,-42.7519582
63.0957344,0.722336144,-40.0884072
100,0.595468754,-36.1566657
158.489319,0.506337122,-31.942147
251.188643,0.441844579,-28.0167906
398.107171,0.393848567,-24.8044149
630.957344,0.358419821,-22.7092709
1000,0.327896329,-21.933758
1584.89319,0.30118248,-22.470987
2511.88643,0.272750094,-24.3081986
3981.07171,0.241717518,-27.0347172
6309.57344,0.208669055,-30.0400869
10000,0.17638557,-32.6909759
15848.9319,0.145796409,-34.580487
25118.8643,0.119513757,-35.4142153
39810.7171,0.0977388422,-35.1653727
63095.7344,0.0803208098,-33.6395663
100000,0.0672524489,-31.1229164
158489.319,0.0575090218,-27.9922132
200000,0.0539329293,-26.4118117
