Index,Parameter Value,Circuit Element
0,1.03e+03,R0
1,4.06e+03,R1
2,2.66e+02,Wo2_0
3,3.07e+00,Wo2_1
4,3.55e-06,CPE1_0
5,5.85e-01,CPE1_1
6,1.42e+03,R2
7,5.82e-06,CPE2_0
8,8.81e-01,CPE2_1
9,5.99e+02,Wo1_0
10,2.61e+01,Wo1_1
