Index,Parameter Value,Circuit Element
0,7.94e+02,R0
1,1.19e+03,R1
2,1.63e+01,Wo2_0
3,1.79e+02,Wo2_1
4,7.40e-06,CPE1_0
5,6.14e-01,CPE1_1
6,2.77e+02,R2
7,3.70e-04,CPE2_0
8,3.27e-01,CPE2_1
9,2.41e+01,Wo1_0
10,1.43e+02,Wo1_1
