Index,Parameter Value,Circuit Element
0,6.15e+02,R0
1,4.13e+03,R1
2,4.71e+02,Wo2_0
3,1.50e+00,Wo2_1
4,2.92e-06,CPE1_0
5,5.71e-01,CPE1_1
6,2.46e+03,R2
7,9.61e-06,CPE2_0
8,5.14e-01,CPE2_1
9,3.51e+02,Wo1_0
10,2.12e+00,Wo1_1
