Index,Parameter Value,Circuit Element
0,3.72e-31,R0
1,5.75e+03,R1
2,2.64e-19,Wo1_0
3,3.58e-01,Wo1_1
4,8.55e-07,CPE1_0
5,6.42e-01,CPE1_1
6,2.39e+03,R2
7,5.30e-28,Wo2_0
8,1.01e+03,Wo2_1
9,6.42e-09,CPE2_0
10,8.22e-01,CPE2_1
