Index,Parameter Value,Circuit Element
0,8.12e+02,R0
1,3.45e+03,R1
2,1.60e+03,Wo2_0
3,1.77e+01,Wo2_1
4,3.68e-06,CPE1_0
5,6.08e-01,CPE1_1
6,2.80e+03,R2
7,7.41e-05,CPE2_0
8,3.99e-01,CPE2_1
9,1.51e+03,Wo1_0
10,1.61e+01,Wo1_1
