Index,Parameter Value,Circuit Element
0,5.22e+02,R0
1,1.59e+03,R1
2,5.83e+00,Wo2_0
3,1.95e+02,Wo2_1
4,2.80e-06,CPE1_0
5,7.55e-01,CPE1_1
6,3.42e+02,R2
7,1.68e-05,CPE2_0
8,8.17e-01,CPE2_1
9,2.61e+02,Wo1_0
10,1.81e+01,Wo1_1
