Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1V,3V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.00589633978,-0.394727504
25.1188643,0.0739517374,-0.716784405
39.8107171,0.581990949,-1.1437411
63.0957344,1.95154581,-1.54398894
100,1.92862594,-1.47575772
158.489319,1.91276323,-1.56092149
251.188643,1.89425449,-1.75893216
398.107171,1.8753549,-2.00799933
630.957344,1.86003351,-2.31664709
1000,1.8409844,-2.78644839
1584.89319,1.82170885,-3.45559834
2511.88643,1.79612342,-4.44900344
3981.07171,1.7652291,-5.85169716
6309.57344,1.72384314,-7.84311398
10000,1.6703321,-10.6626752
15848.9319,1.60187056,-14.5694735
25118.8643,1.5092543,-20.0608585
39810.7171,1.38698643,-27.7335526
63095.7344,1.21881148,-38.0888219
100000,0.986571031,-51.0239794
158489.319,0.722219461,-65.0160848
200000,0.592739859,-71.7121082
