Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1.1V,2.9V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.7407274,-35.0209837
25.1188643,0.00589539534,-40.1410103
39.8107171,1.26716035,-40.9496964
63.0957344,1.04763876,-39.9752908
100,0.860689457,-37.594964
158.489319,0.725598077,-34.6743593
251.188643,0.621183606,-31.7776895
398.107171,0.544688076,-29.1876434
630.957344,0.482336171,-27.2278852
1000,0.430474051,-26.288853
1584.89319,0.384956545,-26.4642502
2511.88643,0.340401871,-27.566502
3981.07171,0.295997186,-29.2152067
6309.57344,0.253046985,-30.8685918
10000,0.213744873,-32.1115898
15848.9319,0.179598018,-32.8649196
25118.8643,0.150047744,-33.1105154
39810.7171,0.125223022,-32.798751
63095.7344,0.105049948,-31.8323386
100000,0.0888371622,-30.0900064
158489.319,0.0762476399,-27.9964441
200000,0.0713459189,-26.8750294
