Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1.05V,2.95V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.56602779,-36.292458
25.1188643,1.60569069,-36.1974034
39.8107171,1.33979619,-34.8224784
63.0957344,1.14256631,-32.6229112
100,0.984655036,-29.6177897
158.489319,0.862598112,-26.4718194
251.188643,0.775251419,-23.6754635
398.107171,0.706057046,-21.5174929
630.957344,0.651570523,-20.2667458
1000,0.602854667,-20.1143774
1584.89319,0.553995469,-21.0329284
2511.88643,0.504699334,-23.1442508
3981.07171,0.450986455,-26.1409137
6309.57344,0.394366821,-29.6109707
10000,0.334058101,-33.132277
15848.9319,0.276350432,-36.1527077
25118.8643,0.224207862,-38.3898317
39810.7171,0.1800614,-39.6054008
63095.7344,0.143984286,-39.4727733
100000,0.115729231,-38.0979166
158489.319,0.0944781697,-35.7425351
200000,0.0858290492,-34.3188687
