Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1V,3V
Phase Unit,Degree
Phase Axis Range,-70Deg,10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.94438553,-2.64473709
25.1188643,1.9367043,-2.64170019
39.8107171,1.90820386,-3.6745113
63.0957344,1.87411781,-5.10866319
100,1.81687912,-6.35448317
158.489319,1.74723824,-7.95293114
251.188643,1.65766474,-9.95332311
398.107171,1.55624245,-11.9843584
630.957344,1.43822777,-13.7916631
1000,1.3243742,-15.1902601
1584.89319,1.20964093,-16.0750206
2511.88643,1.10160919,-16.4669539
3981.07171,1.01112782,-16.534623
6309.57344,0.934930426,-16.609128
10000,0.869450455,-17.1182335
15848.9319,0.814057015,-18.5222095
25118.8643,0.760134142,-21.397014
39810.7171,0.703893254,-26.4594589
63095.7344,0.633458432,-34.3432262
100000,0.537168666,-45.1695375
158489.319,0.419015004,-57.2234092
200000,0.355607465,-63.5975338
