Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.13V,0.67V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.491868969,-46.7596227
25.1188643,0.438346223,-46.5686166
39.8107171,0.351483491,-46.4501333
63.0957344,0.27861567,-47.7782731
100,0.219944871,-48.6119921
158.489319,0.171074898,-49.7595351
251.188643,0.131442396,-50.6659403
398.107171,0.0669333709,-50.8311226
630.957344,0.0756980729,-49.9374933
1000,0.0577290608,-47.7720953
1584.89319,0.0446863445,-44.4118725
2511.88643,0.0355924466,-40.1237407
3981.07171,0.0293805976,-35.5690516
6309.57344,0.0249425704,-31.3140219
10000,0.021818919,-28.0634635
15848.9319,0.0192933098,-25.0475487
25118.8643,0.0172695207,-23.3072261
39810.7171,0.0155185842,-21.994106
63095.7344,0.014016336,-20.5801636
100000,0.0126532209,-20.0493763
158489.319,0.0114855364,-19.4497866
200000,0.0109391932,-19.2252259
