20.0,4659.46,-4172.04
25.1188643,181.64,-108.73
39.8107171,3383.29,-2550.39
63.0957344,2887.29,-1961.91
100.0,2487.94,-1502.18
158.489319,2127.94,-1154.01
251.188643,1941.28,-977.91
398.107171,1732.0,-831.36
630.957344,1543.68,-734.73
1000.0,1360.34,-663.3
1584.89319,1188.69,-609.27
2511.88643,941.22,-509.34
3981.07171,860.62,-497.35
6309.57344,710.84,-429.73
10000.0,579.36,-359.95
15848.9319,472.98,-296.86
25118.8643,383.78,-240.03
39810.7171,312.33,-192.23
63095.7344,255.7,-152.41
100000.0,212.1,-120.4
158489.319,177.62,-94.4
200000.0,164.4,-84.16
