Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,0V,0.8V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.0681994858,-58.4598454
25.1188643,0.559973262,-58.2667061
39.8107171,0.422640514,-58.4554304
63.0957344,0.315237068,-48.4961922
100,0.197988825,-56.3375841
158.489319,0.151021661,-53.213564
251.188643,0.130344141,-48.5312416
398.107171,0.0959971719,-43.1948362
630.957344,0.0828461206,-37.1240431
1000,0.0702929993,-31.4398197
1584.89319,0.0615986174,-26.2871598
2511.88643,0.0554964725,-22.2054018
3981.07171,0.0509279865,-19.2446338
6309.57344,0.0473513118,-17.1869315
10000,0.0442180532,-16.1421695
15848.9319,0.0414428089,-15.9965432
25118.8643,0.0386275121,-16.6017427
39810.7171,0.0356887987,-17.6989311
63095.7344,0.0327297278,-18.9363213
100000,0.0296424327,-20.2264416
158489.319,0.026443101,-21.338397
200000,0.0249373711,-21.8366735
