Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.24V,1.36V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.00589615565,-52.0936055
25.1188643,0.865719419,-52.7691002
39.8107171,0.67029538,-40.556468
63.0957344,0.518061355,-51.8845318
100,0.396893833,-49.027366
158.489319,0.309421147,-45.3496397
251.188643,0.246432286,-40.8033937
398.107171,0.20375332,-35.8171782
630.957344,0.172913725,-30.8407622
1000,0.151975572,-26.3350072
1584.89319,0.13635363,-22.6913198
2511.88643,0.124743989,-20.1309012
3981.07171,0.115124507,-18.5792882
6309.57344,0.106633133,-18.0248841
10000,0.0982456243,-18.2438025
15848.9319,0.0901314622,-18.9437996
25118.8643,0.0819209349,-19.9590146
39810.7171,0.0738344261,-20.9660413
63095.7344,0.0660216948,-21.6982716
100000,0.0589073565,-22.0721631
158489.319,0.0523815653,-22.2426229
200000,0.0494426472,-22.2637899
