Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.04V,1.56V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.0235160357,-44.026049
25.1188643,1.06645825,-35.0539558
39.8107171,0.861614589,-42.3544273
63.0957344,0.70140363,-39.5975367
100,0.582956661,-33.4037285
158.489319,0.494728731,-31.4179022
251.188643,0.435156144,-27.5725039
398.107171,0.38831665,-24.5047444
630.957344,0.354380562,-22.5429349
1000,0.324519405,-21.9050805
1584.89319,0.296488052,-22.5820679
2511.88643,0.250158936,-24.4478458
3981.07171,0.238070185,-27.0992499
6309.57344,0.205228304,-30.0209941
10000,0.173261052,-32.6569144
15848.9319,0.143391476,-34.6003296
25118.8643,0.117855261,-35.6833219
39810.7171,0.0962601537,-35.6787539
63095.7344,0.07881111,-34.4195704
100000,0.0656155382,-32.013737
158489.319,0.0559512452,-29.0079948
200000,0.0520264987,-27.4106651
