Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.28V,1.32V
Phase Unit,Degree
Phase Axis Range,-60Deg,-20Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.02004959,-42.9665391
25.1188643,0.815482918,-48.5228435
39.8107171,0.716434499,-47.1355283
63.0957344,0.571399,-44.7308801
100,0.457857411,-40.9121448
158.489319,0.375150855,-36.4879393
251.188643,0.317737556,-31.9397999
398.107171,0.277087928,-27.6958929
630.957344,0.247219265,-24.1978221
1000,0.22471547,-21.6833597
1584.89319,0.206616356,-20.2529602
2511.88643,0.191006789,-20.0210353
3981.07171,0.175681309,-20.9523413
6309.57344,0.159098618,-22.8814236
10000,0.141527693,-25.3566905
15848.9319,0.122766391,-27.9150124
25118.8643,0.10439071,-29.9511392
39810.7171,0.0876837395,-31.0257122
63095.7344,0.0733121217,-30.8225717
100000,0.0618333709,-29.5675993
158489.319,0.0530180929,-27.536757
200000,0.0494849162,-26.4166385
