Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.01V,0.79V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.0058964522,-52.6737187
25.1188643,0.291747564,-44.4325648
39.8107171,0.776331965,-54.2435722
63.0957344,0.594930602,-53.7433022
100,0.454575805,-49.4679821
158.489319,0.210752644,-48.5726781
251.188643,0.274091302,-44.446436
398.107171,0.220335902,-39.5157403
630.957344,0.182614826,-34.1588017
1000,0.156815866,-28.976769
1584.89319,0.138724191,-24.2163581
2511.88643,0.125821675,-20.2473594
3981.07171,0.116441567,-17.2502932
6309.57344,0.109227372,-15.2076381
10000,0.103230251,-14.2073811
15848.9319,0.0978061448,-14.1578698
25118.8643,0.0920462672,-15.0929143
39810.7171,0.0856246937,-16.641396
63095.7344,0.0783043251,-18.4323258
100000,0.0709879331,-19.9006799
158489.319,0.063432534,-21.0736801
200000,0.0600851267,-21.4520747
