Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.85V,3.15V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.00589637802,-22.0593169
25.1188643,1.97072344,-21.3647473
39.8107171,1.80078366,-19.2013101
63.0957344,1.68493514,-17.3974819
100,1.57921739,-15.8512661
158.489319,1.49202761,-15.1713037
251.188643,0.224401449,-15.6301332
398.107171,1.29200388,-16.9944901
630.957344,1.20676319,-19.5774667
1000,1.10664535,-23.3591625
1584.89319,0.980777537,-27.9906503
2511.88643,0.841506018,-33.0137735
3981.07171,0.697174702,-37.7497552
6309.57344,0.559540193,-41.8202139
10000,0.440637786,-44.8742537
15848.9319,0.342031212,-47.0296726
25118.8643,0.262311797,-48.198208
39810.7171,0.200491953,-48.2657103
63095.7344,0.153459509,-46.9559011
100000,0.119177973,-44.276706
158489.319,0.0947338562,-40.7040546
200000,0.0850480892,-38.7064068
