Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,0V,0.8V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.023514538,-44.4923864
25.1188643,0.787467615,-47.0698084
39.8107171,0.614184186,-51.6440156
63.0957344,0.470777165,-55.2074733
100,0.349795174,-57.0978517
158.489319,0.258608754,-57.9320629
251.188643,0.19002046,-57.5210363
398.107171,0.139279518,-55.8082913
630.957344,0.103199497,-52.7473712
1000,0.0782367696,-48.3993861
1584.89319,0.0611261983,-43.1131243
2511.88643,0.0496005975,-37.323976
3981.07171,0.0418395938,-31.7673066
6309.57344,0.036543101,-26.8513635
10000,0.0326040441,-22.8321866
15848.9319,0.0297469873,-19.6540041
25118.8643,0.027477854,-17.1143549
39810.7171,0.0255511449,-15.4206628
63095.7344,0.0239369102,-14.1675905
100000,0.02247976,-13.4776661
158489.319,0.0212451952,-13.2738463
200000,0.020666152,-13.4487966
