111.52	2.29	20.0
7894.39	358.6	25.1188643
1591.6	69.43	39.8107171
7711.32	526.61	63.0957344
7495.38	557.44	100.0
7279.03	625.41	158.489319
7053.84	700.56	251.188643
6809.77	765.13	398.107171
6539.55	823.13	630.957344
6294.87	873.37	1000.0
6039.29	923.14	1584.89319
5812.63	1009.76	2511.88643
5541.68	1128.0	3981.07171
5264.45	1299.16	6309.57344
4922.81	1515.69	10000.0
4523.65	1775.28	15848.9319
4036.3	2040.05	25118.8643
3445.69	2232.93	39810.7171
2762.33	2238.01	63095.7344
2055.16	1968.81	100000.0
1413.5	1481.46	158489.319
1141.82	1217.33	200000.0
7968.05	229.83	20.0
6093.09	234.41	25.1188643
7840.41	369.06	39.8107171
7752.12	495.5	63.0957344
7571.09	411.28	100.0
7344.62	567.89	158.489319
7118.06	659.46	251.188643
6902.95	723.08	398.107171
6657.17	771.65	630.957344
6421.59	813.95	1000.0
6201.03	871.72	1584.89319
5964.46	961.53	2511.88643
5735.82	1091.32	3981.07171
5454.27	1271.1	6309.57344
5127.61	1506.47	10000.0
4731.47	1785.09	15848.9319
4238.85	2073.41	25118.8643
3645.42	2305.65	39810.7171
2942.1	2347.82	63095.7344
2189.49	2083.53	100000.0
1514.72	1587.77	158489.319
1225.26	1309.34	200000.0
