22
22
22
22
14.51	0.1	20.0
184.47	2.34	25.1188643
1617.6	36.54	39.8107171
7855.06	347.14	63.0957344
7705.66	323.07	100.0
7602.91	335.42	158.489319
7483.17	369.78	251.188643
7361.83	412.78	398.107171
7262.94	467.48	630.957344
7140.95	549.45	1000.0
7015.49	665.23	1584.89319
6848.03	829.01	2511.88643
6642.67	1046.82	3981.07171
6365.56	1325.7	6309.57344
6003.87	1668.15	10000.0
5541.62	2051.2	15848.9319
4938.33	2426.43	25118.8643
4201.15	2705.72	39810.7171
3349.8	2732.75	63095.7344
2459.41	2382.33	100000.0
1687.91	1788.67	158489.319
1365.14	1470.91	200000.0
