224.33	5.29	20.0
7862.72	373.22	25.1188643
1229.07	61.31	39.8107171
7579.63	618.12	63.0957344
7327.38	633.52	100.0
7101.47	668.27	158.489319
6839.43	729.88	251.188643
6610.65	767.69	398.107171
6394.67	807.81	630.957344
6165.29	853.68	1000.0
5933.15	927.3	1584.89319
5693.59	1030.7	2511.88643
5420.32	1174.99	3981.07171
5097.19	1354.94	6309.57344
4721.69	1567.98	10000.0
4285.88	1793.14	15848.9319
3769.48	1995.13	25118.8643
3187.33	2119.86	39810.7171
2546.09	2079.52	63095.7344
1890.34	1802.25	100000.0
1301.29	1350.57	158489.319
1055.07	1114.39	200000.0
