Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.06V,1.54V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.00589653063,-27.5886494
25.1188643,1.51220888,-34.5142377
39.8107171,1.28579726,-33.2179476
63.0957344,1.11285734,-31.5730691
100,0.969112994,-29.3569679
158.489319,0.8501845,-27.4245759
251.188643,0.758910042,-25.8454522
398.107171,0.679556824,-24.6797533
630.957344,0.611477188,-24.1353482
1000,0.548508626,-24.3630714
1584.89319,0.491934669,-25.3319646
2511.88643,0.438401605,-27.0220901
3981.07171,0.382872799,-29.293999
6309.57344,0.327953331,-31.7959858
10000,0.275662758,-34.2329008
15848.9319,0.228375725,-36.3267854
25118.8643,0.186856905,-37.9945677
39810.7171,0.151258612,-39.0149242
63095.7344,0.121802849,-39.2072784
100000,0.0981977626,-38.1995888
158489.319,0.0797886865,-36.1972524
200000,0.0725157204,-34.8950599
