Index,Parameter Value,Circuit Element
0,4.67e+02,R0
1,1.04e+04,R1
2,3.33e+03,Wo1_0
3,1.26e+00,Wo1_1
4,8.26e-06,CPE1_0
5,4.65e-01,CPE1_1
6,3.21e+03,Wo2_0
7,1.00e+00,Wo2_1
