Index,Parameter Value,Circuit Element
0,2.12e+03,R0
1,1.03e+03,R1
2,8.96e+02,Wo1_0
3,7.57e+00,Wo1_1
4,4.16e-05,CPE1_0
5,4.43e-01,CPE1_1
6,8.98e+02,Wo2_0
7,6.03e+00,Wo2_1
