Index,Parameter Value,Circuit Element
0,1.81e+03,R0
1,2.25e+03,R1
2,1.32e+03,Wo1_0
3,1.28e-02,Wo1_1
4,9.57e-08,CPE1_0
5,9.99e-01,CPE1_1
6,1.32e+03,Wo2_0
7,2.95e-03,Wo2_1
