Index,Parameter Value,Circuit Element
0,6.33e+02,R0
1,1.64e+03,R1
2,7.38e+02,Wo1_0
3,1.98e-02,Wo1_1
4,4.50e-07,CPE1_0
5,8.91e-01,CPE1_1
6,9.06e+02,Wo2_0
7,1.83e-03,Wo2_1
