Index,Parameter Value,Circuit Element
0,2.38e+02,R0
1,3.38e+03,R1
2,2.82e+04,Wo1_0
3,1.06e-01,Wo1_1
4,3.47e-07,CPE1_0
5,6.93e-01,CPE1_1
6,2.05e+04,Wo2_0
7,1.24e+02,Wo2_1
