Index,Parameter Value,Circuit Element
0,1.43e+02,R0
1,1.52e+03,R1
2,1.91e+04,Wo1_0
3,1.51e-01,Wo1_1
4,3.97e-07,CPE1_0
5,7.00e-01,CPE1_1
6,1.06e+04,Wo2_0
7,4.54e-01,Wo2_1
