Index,Parameter Value,Circuit Element
0,2.11e+03,R0
1,4.15e+01,R1
2,6.88e+00,Wo1_0
3,1.93e+02,Wo1_1
4,3.62e-04,CPE1_0
5,4.64e-01,CPE1_1
6,4.13e+02,Wo2_0
7,5.89e-04,Wo2_1
