Index,Parameter Value,Circuit Element
0,2.42e+01,R0
1,4.51e+03,R1
2,1.74e+03,Wo1_0
3,3.12e-02,Wo1_1
4,5.43e-05,CPE1_0
5,3.03e-01,CPE1_1
6,5.42e+03,Wo2_0
7,1.40e-02,Wo2_1
