Index,Parameter Value,Circuit Element
0,1.78e+03,R0
1,1.81e+03,R1
2,3.12e+03,Wo1_0
3,1.10e-02,Wo1_1
4,8.10e-06,CPE1_0
5,5.04e-01,CPE1_1
6,3.19e+03,Wo2_0
7,6.94e-03,Wo2_1
