Index,Parameter Value,Circuit Element
0,3.54e+02,R0
1,6.87e+03,R1
2,2.23e+04,Wo1_0
3,2.39e-01,Wo1_1
4,6.01e-06,CPE1_0
5,4.78e-01,CPE1_1
6,1.06e+04,Wo2_0
7,1.82e-01,Wo2_1
