Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1.2V,2.8V
Phase Unit,Degree
Phase Axis Range,-60Deg,-20Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.65022325,-42.3187891
25.1188643,1.41124594,-42.2196265
39.8107171,1.14429476,-41.6231908
63.0957344,0.939243889,-40.0309336
100,0.771599123,-37.0745485
158.489319,0.650010038,-33.6793888
251.188643,0.559827737,-30.4151849
398.107171,0.493210714,-27.0966339
630.957344,0.441755347,-24.5647588
1000,0.402763468,-23.064549
1584.89319,0.367302554,-22.9067383
2511.88643,0.333580633,-24.0282955
3981.07171,0.298652323,-26.241425
6309.57344,0.260713295,-29.0743072
10000,0.221999359,-31.8807498
15848.9319,0.184985242,-34.0743631
25118.8643,0.151525314,-35.3224845
39810.7171,0.123795642,-35.5169938
63095.7344,0.101757733,-34.5034421
100000,0.0848071003,-32.5075603
158489.319,0.0719981105,-30.0605102
200000,0.0668585584,-28.7766055
