Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.95V,3.05V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.148045032,-0.511486528
25.1188643,1.96333823,-1.05070974
39.8107171,1.95768658,-1.39994092
63.0957344,1.94612365,-1.86459952
100,1.9171236,-1.89409221
158.489319,1.89330724,-2.08878858
251.188643,1.87171475,-2.35457092
398.107171,1.84420845,-2.63179666
630.957344,1.82519833,-2.97095474
1000,1.79883043,-3.45678143
1584.89319,1.77179386,-4.13108526
2511.88643,1.74168539,-5.0978024
3981.07171,1.70353055,-6.51546494
6309.57344,1.65840294,-8.52834055
10000,1.60210418,-11.3833206
15848.9319,1.530778,-15.370523
25118.8643,1.43706066,-20.914288
39810.7171,1.31381988,-28.6080747
63095.7344,1.14997811,-38.9576024
100000,0.931996016,-51.8643988
158489.319,0.67778151,-65.9472285
200000,0.555687033,-72.6746966
