Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.95V,3.05V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.00589633181,-1.16939658
25.1188643,1.95253984,-1.29772851
39.8107171,1.93937236,-1.68772468
63.0957344,1.31154164,-0.843019034
100,1.89737175,-2.29343032
158.489319,1.8735067,-2.53711543
251.188643,1.83929679,-2.88769596
398.107171,1.81248484,-3.2356741
630.957344,1.78343213,-3.68075361
1000,1.74905075,-4.25602494
1584.89319,1.71651343,-5.03975436
2511.88643,1.68416904,-6.1763955
3981.07171,1.64022846,-7.80364052
6309.57344,1.58632528,-10.085047
10000,1.52073217,-13.289363
15848.9319,1.43815878,-17.7727897
25118.8643,1.33353515,-23.8702549
39810.7171,1.20031048,-32.1668625
63095.7344,1.02688239,-43.1525755
100000,0.810276284,-56.6143589
158489.319,0.572603711,-71.084502
200000,0.461441707,-77.9364334
